name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
DALLAS_MAVERICKS,away,10_28,24,85,31,21,3,42,40,21,10,6,25,111,7,8,1,PHOENIX_SUNS,15,87,33,24,3,40,34,21,6,13,30,95,3,18,48,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,10_29,22,97,15,30,2,41,35,12,6,14,26,88,4,12,0,LOS_ANGELES_CLIPPERS,21,87,33,31,8,45,38,20,8,8,17,104,6,8,55,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,11_1,28,87,16,30,4,41,40,12,11,8,22,103,5,11,1,LOS_ANGELES_LAKERS,18,85,28,34,9,34,31,21,10,8,20,93,8,12,49,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_3,20,86,25,23,3,30,33,18,7,14,25,91,5,15,0,TORONTO_RAPTORS,18,82,26,17,6,37,37,23,5,10,26,102,8,16,44,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_5,17,82,27,29,2,36,32,24,6,8,13,94,8,13,0,CHARLOTTE_HORNETS,19,89,17,27,6,40,44,14,6,8,25,108,8,11,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_7,20,84,22,24,2,36,40,18,9,6,17,107,5,9,1,NEW_ORLEANS_PELICANS,21,86,13,28,6,35,39,11,9,7,24,98,7,12,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,11_10,20,88,26,20,4,36,39,22,5,8,17,105,4,13,0,NEW_ORLEANS_PELICANS,25,92,18,33,5,39,46,14,14,9,27,120,9,11,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_11,23,76,30,24,3,36,42,23,11,8,29,118,8,13,1,LOS_ANGELES_CLIPPERS,21,86,33,27,2,28,37,22,12,13,24,108,4,10,44,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_13,19,82,29,27,4,41,30,23,7,7,15,90,9,15,1,LOS_ANGELES_LAKERS,18,88,18,27,7,42,29,15,9,15,27,82,10,20,48,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,11_14,24,89,21,28,7,37,43,16,8,8,21,110,6,11,1,HOUSTON_ROCKETS,22,84,32,34,5,31,32,25,9,12,23,98,9,12,45,43,21.7,85.6,24.2,25.6,3.4,37.6,37.4,18.9,8.0,8.7,21.0,101.7,6.1,12.0,0.6,19.8,86.6,25.1,28.2,5.7,37.1,36.7,18.6,8.8,10.3,24.3,100.8,7.2,13.0,46.3,47.4
DALLAS_MAVERICKS,away,11_16,16,76,30,24,2,33,30,25,7,6,23,92,12,19,1,PHILADELPHIA_76ERS,16,76,20,22,4,38,34,13,5,8,29,86,9,27,39,46,20.9,84.7,24.1,25.9,3.3,36.7,36.4,19.3,7.7,8.7,20.8,99.8,6.6,13.1,0.6,19.9,85.5,23.8,28.0,5.8,36.9,36.7,17.8,8.7,9.8,24.2,99.9,7.8,13.9,45.4,46.7
DALLAS_MAVERICKS,away,11_18,22,72,35,20,7,32,37,25,7,7,22,106,7,17,1,BOSTON_CELTICS,22,92,24,26,1,29,38,18,8,14,28,102,12,14,39,43,20.9,82.2,26.1,24.9,3.8,35.8,36.6,20.6,7.8,8.0,20.4,101.6,6.9,13.6,0.7,20.0,86.0,22.9,27.5,5.1,35.3,36.7,17.6,8.7,10.4,25.3,99.7,8.4,14.5,43.8,45.7
DALLAS_MAVERICKS,home,11_20,24,83,17,28,5,26,39,16,8,8,19,102,10,8,1,UTAH_JAZZ,14,80,21,20,2,30,35,17,6,18,24,93,4,17,34,48,20.5,81.8,26.2,24.7,3.9,34.3,36.5,21.0,7.5,8.0,20.1,101.5,7.4,13.3,0.7,19.6,85.5,22.2,26.1,4.4,34.9,37.1,17.2,8.3,11.4,25.7,99.7,8.0,15.0,42.3,46.3
DALLAS_MAVERICKS,away,11_22,26,83,28,19,4,27,44,16,10,9,17,114,8,17,0,OKLAHOMA_CITY_THUNDER,25,90,18,22,6,27,47,14,9,14,23,117,8,16,36,41,21.1,81.5,26.5,24.3,4.0,34.0,37.6,20.8,7.8,7.5,19.3,103.8,7.7,13.5,0.7,20.3,86.3,21.4,26.6,4.4,33.9,38.1,16.3,8.7,11.8,25.4,101.2,8.0,15.0,41.5,45.7
DALLAS_MAVERICKS,away,11_24,22,77,28,34,6,44,30,25,11,4,25,96,4,19,0,MEMPHIS_GRIZZLIES,20,86,37,21,4,37,37,29,7,5,24,110,12,9,48,42,21.6,81.0,26.6,24.8,4.4,34.8,37.4,20.9,8.3,7.1,20.5,104.0,7.3,14.1,0.7,20.4,86.0,23.4,26.0,4.2,33.6,37.4,17.8,8.8,11.5,25.3,101.4,8.4,14.8,41.9,45.1
DALLAS_MAVERICKS,away,11_25,21,83,12,22,1,37,34,9,6,9,21,83,7,13,0,SAN_ANTONIO_SPURS,23,81,19,28,4,40,33,14,8,12,12,88,6,13,46,52,21.7,80.9,25.6,24.6,4.3,34.9,36.8,20.0,8.0,7.4,20.9,101.6,7.5,14.5,0.6,20.6,85.5,24.0,26.0,4.0,34.1,36.8,18.1,8.7,12.0,24.1,100.4,8.3,14.9,42.3,46.1
DALLAS_MAVERICKS,home,11_28,18,77,27,26,3,32,33,19,7,10,14,92,13,13,1,DENVER_NUGGETS,17,75,17,25,5,35,30,13,8,10,22,81,9,20,42,45,21.5,79.8,25.7,25.2,4.2,34.5,36.2,19.7,8.2,7.6,20.6,100.3,8.4,14.5,0.7,19.8,83.8,23.9,25.2,4.0,33.7,35.2,18.0,8.1,12.1,23.6,96.5,8.3,15.8,42.1,45.8
DALLAS_MAVERICKS,away,11_30,22,84,22,37,3,31,36,17,9,9,30,98,8,16,0,SACRAMENTO_KINGS,22,79,44,31,1,33,36,31,9,9,18,112,1,11,40,42,21.4,80.6,24.9,26.5,4.2,34.0,35.6,19.1,8.0,7.7,20.7,98.3,8.4,14.8,0.6,19.9,83.1,25.0,25.6,3.9,34.2,35.1,18.9,7.8,11.7,23.0,96.9,8.0,15.9,41.7,45.9
DALLAS_MAVERICKS,away,12_1,23,94,24,29,5,37,43,20,9,12,17,115,7,12,1,PORTLAND_TRAIL_BLAZERS,24,100,17,40,1,37,41,15,15,13,23,112,6,15,49,50,21.8,81.8,24.4,26.7,4.3,33.6,36.9,18.8,8.2,8.2,20.9,100.8,8.2,14.5,0.6,20.5,84.3,24.9,26.9,3.3,33.7,36.3,18.9,8.4,11.5,22.6,99.9,7.6,15.4,41.8,45.2
DALLAS_MAVERICKS,home,12_4,23,81,20,29,5,31,37,14,8,11,17,96,8,17,0,HOUSTON_ROCKETS,20,84,18,26,5,30,39,10,12,15,22,100,12,18,42,45,21.7,81.0,24.3,26.8,4.1,33.0,36.3,18.6,8.2,8.5,20.5,99.4,8.4,15.1,0.5,20.3,84.3,23.5,26.1,3.3,33.6,37.0,17.4,8.7,11.8,22.5,100.1,7.9,16.0,41.5,45.4
DALLAS_MAVERICKS,away,12_6,25,76,27,31,4,44,38,24,16,6,17,116,5,16,1,WASHINGTON_WIZARDS,22,89,21,27,0,25,42,12,8,6,22,104,9,6,50,31,22.6,81.0,24.0,27.5,4.3,34.1,37.1,18.5,9.1,8.5,19.9,101.8,7.7,14.8,0.5,20.9,85.6,23.6,26.6,2.9,32.3,37.8,17.3,9.0,11.6,21.8,101.9,7.9,13.9,42.6,43.9
DALLAS_MAVERICKS,away,12_7,21,82,20,31,3,36,37,17,13,7,14,104,7,9,1,NEW_YORK_KNICKS,25,84,9,25,4,34,40,8,9,3,21,97,4,13,43,37,22.5,82.0,22.5,28.6,3.9,34.5,37.1,17.7,9.7,8.5,19.1,101.6,7.7,14.0,0.5,21.2,84.8,22.1,26.5,3.2,32.8,38.0,16.3,9.1,10.5,21.1,101.4,7.1,13.8,43.0,43.3
DALLAS_MAVERICKS,home,12_9,18,100,19,31,3,31,36,16,7,20,15,95,7,9,0,ATLANTA_HAWKS,26,81,18,20,7,41,39,14,6,6,19,98,7,14,51,47,21.9,83.7,22.7,28.9,3.7,35.0,36.8,17.7,9.6,9.7,18.7,100.9,7.4,14.1,0.4,22.4,84.9,21.8,26.5,3.7,33.9,38.4,16.0,9.1,9.3,20.6,101.9,7.4,13.5,44.7,43.2
DALLAS_MAVERICKS,home,12_12,23,89,24,33,3,35,38,21,14,11,12,111,5,12,0,WASHINGTON_WIZARDS,33,85,15,29,6,35,44,12,14,4,22,114,6,13,46,39,21.6,84.3,22.3,30.3,3.6,35.8,36.2,18.2,10.0,9.9,18.2,100.6,7.1,13.6,0.4,23.2,84.4,21.5,27.2,3.7,34.7,38.1,15.8,9.6,8.3,20.5,101.6,7.2,13.2,45.7,43.0
DALLAS_MAVERICKS,home,12_14,17,77,21,32,1,36,38,16,12,5,22,104,12,16,1,PHOENIX_SUNS,19,80,27,25,5,35,33,19,9,12,23,94,9,16,41,47,21.1,84.3,21.6,30.1,3.1,35.0,37.0,17.3,10.1,10.0,17.9,101.4,7.9,13.3,0.5,23.1,83.8,20.5,27.6,3.8,34.5,37.7,14.8,9.8,9.0,20.4,100.0,6.9,13.9,45.0,43.5
DALLAS_MAVERICKS,away,12_16,16,90,10,33,3,36,33,7,8,11,16,81,2,11,0,INDIANA_PACERS,28,89,17,29,4,42,43,10,11,5,17,107,9,8,47,47,20.6,85.0,21.4,31.2,3.3,34.9,36.9,17.1,10.3,10.2,17.4,101.2,7.4,13.1,0.5,23.6,84.6,20.3,27.7,3.8,34.7,38.7,14.4,10.1,8.3,20.9,101.9,7.2,13.4,45.1,43.0
DALLAS_MAVERICKS,home,12_18,27,78,21,29,4,39,34,19,10,11,17,97,7,19,1,MEMPHIS_GRIZZLIES,13,80,24,17,3,29,30,22,6,10,19,88,11,12,50,39,21.5,85.1,20.8,31.5,3.4,35.6,37.0,17.1,10.6,10.3,17.7,101.7,6.8,13.7,0.5,23.2,85.1,21.0,26.9,3.6,34.1,38.7,15.3,9.9,8.3,20.6,102.6,7.4,12.6,45.9,42.4
DALLAS_MAVERICKS,away,12_22,23,92,11,29,7,30,40,8,11,4,25,99,8,6,0,TORONTO_RAPTORS,20,74,27,26,4,43,35,21,12,10,19,103,4,17,34,53,21.6,85.9,19.7,30.7,3.8,35.5,37.4,16.2,10.8,9.8,17.2,101.8,6.8,12.7,0.5,23.0,84.6,19.3,26.4,3.9,35.1,38.6,14.3,10.2,8.4,20.7,101.7,7.7,13.2,45.3,43.5
DALLAS_MAVERICKS,away,12_23,27,82,15,34,4,29,45,13,16,5,18,119,3,17,1,BROOKLYN_NETS,32,101,14,19,4,28,51,6,10,15,17,118,9,11,34,43,22.0,84.7,18.8,31.2,3.7,34.7,37.6,15.5,11.5,9.1,17.3,102.2,6.4,13.2,0.5,23.8,84.7,19.0,24.3,4.2,34.2,39.6,13.4,9.7,8.6,20.1,102.3,8.0,12.8,43.8,42.8
DALLAS_MAVERICKS,home,12_26,24,87,28,33,1,26,40,22,16,16,25,118,10,11,1,CHICAGO_BULLS,20,78,26,21,7,28,42,19,8,13,23,111,7,17,42,41,22.1,85.3,19.6,31.6,3.3,34.2,37.9,16.3,12.3,9.6,18.1,104.4,6.6,12.6,0.6,23.8,84.1,19.8,23.8,4.4,34.0,39.9,14.3,9.3,8.4,20.2,103.4,7.5,12.7,43.8,42.4
DALLAS_MAVERICKS,home,12_28,25,84,26,22,2,28,38,17,10,6,15,103,9,4,1,MILWAUKEE_BUCKS,14,79,15,14,5,43,38,13,4,9,22,93,4,17,34,52,22.1,86.1,19.5,30.7,3.1,32.6,37.9,15.6,11.7,9.6,17.9,103.1,7.0,11.4,0.6,23.0,83.1,19.2,22.5,4.9,35.8,39.5,14.4,8.9,8.7,20.2,102.3,7.0,13.8,42.2,44.5
DALLAS_MAVERICKS,home,12_30,20,82,20,27,4,40,42,16,14,12,19,114,6,15,1,GOLDEN_STATE_WARRIORS,20,81,24,19,0,29,33,18,7,8,18,91,9,12,52,37,22.0,86.1,19.5,30.3,3.2,33.0,38.4,15.5,11.8,10.1,18.4,104.1,6.9,12.0,0.6,22.5,82.8,20.7,21.9,4.5,35.3,38.8,15.4,8.7,9.2,19.9,101.7,7.5,13.7,43.1,44.5
DALLAS_MAVERICKS,away,1_1,22,88,14,31,3,27,32,11,7,13,11,82,6,9,0,MIAMI_HEAT,24,82,9,18,1,42,46,6,8,8,16,106,4,12,40,50,22.4,84.9,19.0,30.3,3.2,32.6,38.0,15.0,11.8,9.4,18.0,102.8,6.8,12.0,0.6,22.3,82.9,19.8,21.7,3.9,35.4,39.5,14.6,8.9,9.4,19.6,102.5,7.2,13.5,42.0,44.8
DALLAS_MAVERICKS,home,1_2,20,83,19,26,2,30,36,16,10,3,17,98,10,13,0,NEW_ORLEANS_PELICANS,19,83,24,20,2,44,40,19,6,9,19,105,8,19,33,53,22.1,84.3,18.5,29.6,3.1,32.1,37.8,14.5,11.4,8.6,18.5,101.5,7.3,12.1,0.6,20.9,82.7,20.7,20.8,3.5,36.3,39.1,15.3,8.1,9.9,19.3,101.6,7.4,14.1,40.7,46.2
DALLAS_MAVERICKS,home,1_5,22,98,23,29,2,42,45,15,12,13,18,117,13,17,1,SACRAMENTO_KINGS,27,99,14,32,1,40,47,10,12,9,21,116,16,19,55,49,22.6,86.4,18.7,29.3,3.2,32.7,38.5,14.4,11.4,9.4,18.1,102.8,7.4,12.2,0.6,21.7,84.6,19.4,21.5,3.1,36.8,40.5,14.4,8.4,9.6,19.1,103.8,8.1,14.4,42.1,46.4
DALLAS_MAVERICKS,away,1_6,22,87,22,28,6,41,37,19,7,11,18,100,7,10,1,NEW_ORLEANS_PELICANS,22,92,20,30,5,36,34,16,7,15,18,91,7,10,52,51,23.2,86.1,19.9,28.8,3.5,33.2,38.9,15.6,11.3,9.4,18.3,104.7,7.9,12.1,0.7,21.1,84.9,19.7,21.6,3.2,36.2,39.6,15.0,8.0,10.6,19.2,102.2,7.9,14.6,42.6,46.8
DALLAS_MAVERICKS,away,1_8,27,84,16,44,5,26,35,11,14,16,21,95,6,16,0,MILWAUKEE_BUCKS,24,80,29,9,4,28,37,18,4,15,20,96,11,15,42,43,23.2,86.7,19.4,30.3,3.6,31.9,39.0,14.8,11.7,9.9,18.7,104.5,7.8,11.8,0.6,22.2,84.9,20.2,20.8,3.3,36.1,40.3,14.6,7.8,11.1,19.3,103.0,7.9,14.9,41.8,47.2
DALLAS_MAVERICKS,away,1_10,20,77,21,20,3,28,36,15,6,11,19,93,7,13,1,MINNESOTA_TIMBERWOLVES,23,79,22,16,2,27,33,17,4,11,25,87,8,16,39,38,22.9,85.2,20.4,29.4,3.2,31.7,38.6,15.5,11.2,10.6,18.1,103.9,7.7,12.5,0.7,22.5,85.4,19.7,19.8,3.1,34.5,40.1,14.2,7.0,11.2,19.9,101.4,8.3,14.8,42.3,45.7
DALLAS_MAVERICKS,home,1_12,25,79,22,28,7,37,39,18,11,7,16,107,4,16,0,CLEVELAND_CAVALIERS,28,97,16,44,4,29,40,13,17,17,21,110,12,9,44,46,22.7,84.9,21.1,28.8,3.5,32.5,38.0,16.0,10.7,10.8,17.9,102.7,7.8,12.4,0.6,22.1,85.0,19.9,22.3,3.1,34.6,39.0,14.9,7.7,11.4,20.3,100.6,8.6,14.6,43.3,46.0
