name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
MINNESOTA_TIMBERWOLVES,away,10_17,20,91,27,19,2,32,39,24,6,14,27,108,9,11,0,SAN_ANTONIO_SPURS,22,93,29,25,4,33,40,21,11,19,22,112,3,12,46,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,home,10_19,28,87,35,25,7,31,44,33,10,9,21,131,9,13,1,CLEVELAND_CAVALIERS,26,93,29,23,2,30,45,25,8,13,24,123,5,14,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,away,10_20,23,84,40,27,3,27,44,34,14,6,30,136,10,17,0,DALLAS_MAVERICKS,29,98,34,50,8,27,49,25,17,15,28,140,8,16,33,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,home,10_22,24,85,24,33,12,39,36,22,7,8,17,101,9,15,1,INDIANA_PACERS,18,92,16,26,6,33,36,11,8,12,24,91,6,15,47,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,away,10_24,25,96,16,30,5,28,40,10,15,16,17,105,10,15,0,TORONTO_RAPTORS,26,89,12,32,8,33,46,9,11,11,18,112,9,16,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,home,10_26,19,112,18,43,6,32,36,13,10,17,15,95,10,7,0,MILWAUKEE_BUCKS,32,92,11,46,8,55,49,8,19,7,23,125,4,17,49,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,home,10_29,26,98,30,29,12,31,42,26,14,20,14,124,11,14,1,LOS_ANGELES_LAKERS,24,104,15,33,8,31,49,10,12,17,24,120,8,18,51,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,home,10_31,19,86,24,25,8,34,50,16,12,7,28,128,10,15,1,UTAH_JAZZ,25,97,30,30,5,28,47,18,13,20,22,125,9,14,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,away,11_2,25,101,14,45,4,31,38,10,13,8,16,99,8,5,0,GOLDEN_STATE_WARRIORS,31,88,22,34,9,49,43,17,13,12,16,116,3,16,39,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA_TIMBERWOLVES,away,11_4,18,93,21,30,4,25,29,16,7,13,21,81,9,11,0,PORTLAND_TRAIL_BLAZERS,15,86,32,28,1,49,38,28,7,17,20,111,7,16,38,66,22.7,93.3,24.9,30.6,6.3,31.0,39.8,20.4,10.8,11.8,20.6,110.8,9.5,12.3,0.4,24.8,93.2,23.0,32.7,5.9,36.8,44.2,17.2,11.9,14.3,22.1,117.5,6.2,15.4,42.8,51.1
MINNESOTA_TIMBERWOLVES,away,11_5,20,85,30,21,8,30,40,24,5,8,23,109,9,11,0,LOS_ANGELES_CLIPPERS,30,88,22,31,4,30,43,20,14,13,27,120,5,12,38,43,22.7,92.7,25.2,30.8,6.9,30.8,39.9,20.4,10.7,11.2,20.2,110.9,9.5,12.3,0.4,25.6,92.7,22.3,33.3,5.9,36.5,44.5,17.1,12.2,13.7,22.6,118.3,6.4,15.4,42.0,50.2
MINNESOTA_TIMBERWOLVES,away,11_7,22,91,9,40,5,29,41,8,20,11,17,110,10,15,0,LOS_ANGELES_LAKERS,32,91,14,34,4,35,44,11,15,12,14,114,6,16,40,47,22.1,93.1,22.6,32.3,6.7,30.6,39.6,17.9,11.7,11.4,19.8,108.8,9.6,12.5,0.3,26.2,92.5,20.8,34.4,6.1,37.0,44.4,15.7,12.9,13.6,21.6,117.4,6.5,15.6,42.0,50.6
MINNESOTA_TIMBERWOLVES,away,11_9,20,94,31,25,1,37,39,25,7,15,23,110,6,17,0,SACRAMENTO_KINGS,25,95,29,32,6,37,43,23,12,12,29,121,7,12,52,49,21.8,94.1,21.7,32.1,6.5,31.6,39.1,17.0,11.0,12.3,19.1,106.2,9.2,12.5,0.3,25.8,92.2,20.3,32.6,5.9,38.0,43.8,15.5,12.4,13.3,21.7,115.5,6.4,15.2,43.9,51.3
MINNESOTA_TIMBERWOLVES,home,11_12,26,80,31,23,6,43,42,26,10,9,17,120,8,23,1,BROOKLYN_NETS,28,101,22,50,2,23,40,15,18,19,29,113,10,13,52,42,22.0,93.6,22.4,31.1,5.9,32.0,39.7,17.4,11.3,12.4,19.1,108.1,9.1,13.3,0.3,26.8,93.1,20.9,35.0,5.5,37.0,44.2,15.9,13.4,14.0,22.2,117.7,6.8,15.0,44.4,51.0
MINNESOTA_TIMBERWOLVES,home,11_14,29,90,24,32,6,36,37,19,14,11,22,107,14,15,1,NEW_ORLEANS_PELICANS,25,94,18,28,6,36,40,11,9,10,21,100,7,18,47,46,22.4,93.0,23.2,31.3,6.0,32.8,39.4,18.3,11.2,11.9,19.6,108.3,9.5,13.3,0.4,26.7,93.6,21.5,34.6,5.3,37.3,43.6,16.1,13.2,13.9,22.5,116.5,6.6,15.2,44.7,51.2
MINNESOTA_TIMBERWOLVES,home,11_16,28,92,11,28,4,34,46,8,12,9,16,112,11,12,1,PORTLAND_TRAIL_BLAZERS,16,88,20,29,1,37,37,14,8,11,14,96,6,18,43,48,23.3,91.0,22.5,29.8,5.8,33.0,40.4,17.8,11.4,11.1,19.7,110.0,9.6,13.8,0.5,25.1,93.2,22.4,32.9,4.6,35.5,42.4,16.7,12.1,14.3,21.6,113.6,6.8,15.3,44.1,49.8
MINNESOTA_TIMBERWOLVES,home,11_18,20,80,16,29,3,39,31,13,12,10,20,87,8,20,0,MEMPHIS_GRIZZLIES,26,82,25,28,9,33,35,18,12,10,20,100,11,12,49,43,22.7,89.2,21.1,29.8,4.9,33.8,39.3,16.5,11.2,10.1,20.3,106.3,9.3,14.4,0.4,25.3,91.0,23.4,32.4,4.7,35.7,41.0,17.5,12.1,13.6,21.2,111.6,7.1,14.7,43.9,49.3
MINNESOTA_TIMBERWOLVES,home,11_21,24,79,26,32,3,32,35,22,9,8,15,101,8,17,0,DENVER_NUGGETS,29,89,6,35,4,31,42,5,14,9,22,103,12,13,40,40,23.2,88.5,21.3,30.5,4.4,33.6,37.8,17.1,10.9,10.2,19.0,103.6,9.1,14.6,0.3,25.7,90.2,21.0,32.9,4.6,36.0,40.5,16.2,12.2,12.5,21.2,109.4,7.4,14.6,43.8,48.5
MINNESOTA_TIMBERWOLVES,away,11_23,25,92,17,25,4,29,44,15,9,9,20,112,15,7,1,BROOKLYN_NETS,26,79,26,45,4,37,33,22,14,9,22,102,2,18,38,46,23.2,87.6,21.6,28.5,4.4,33.4,38.4,17.6,10.5,10.3,19.4,104.9,9.8,14.8,0.4,25.2,89.3,21.4,34.0,4.1,34.8,39.5,16.7,12.3,12.2,21.8,108.0,7.3,14.8,43.7,47.0
MINNESOTA_TIMBERWOLVES,home,11_24,22,103,23,34,5,38,42,20,7,21,23,111,7,13,1,CHICAGO_BULLS,22,81,31,33,4,34,32,22,10,6,19,96,7,13,59,40,23.6,88.6,21.8,28.9,4.5,34.7,39.7,18.0,10.5,11.1,19.6,107.9,9.6,15.0,0.5,25.9,88.8,21.3,34.5,4.4,33.3,38.9,16.1,12.6,11.1,21.7,106.5,7.3,14.5,45.8,44.4
MINNESOTA_TIMBERWOLVES,away,11_26,18,86,19,26,8,31,40,14,8,8,18,102,8,8,1,CLEVELAND_CAVALIERS,24,86,14,31,3,31,36,13,10,9,18,95,4,16,39,40,23.4,88.7,20.7,29.4,4.5,34.8,39.7,17.0,10.8,11.1,19.1,107.2,9.5,14.7,0.6,25.3,88.6,20.5,34.5,4.3,33.4,38.2,15.4,12.2,10.7,20.8,104.0,7.2,14.9,45.9,44.1
MINNESOTA_TIMBERWOLVES,home,11_28,33,99,15,41,6,35,50,10,18,13,18,128,12,8,1,SAN_ANTONIO_SPURS,23,87,13,27,8,34,34,13,8,12,17,89,1,18,48,46,24.5,89.5,21.3,29.5,4.6,35.4,40.6,17.2,10.6,11.3,19.2,109.0,9.7,14.0,0.7,24.4,88.2,20.4,33.8,4.7,33.3,37.2,15.6,11.5,10.7,21.1,101.5,6.7,15.1,46.7,44.0
MINNESOTA_TIMBERWOLVES,home,12_1,19,82,32,28,2,30,37,26,9,9,18,109,6,16,0,BOSTON_CELTICS,30,85,21,44,3,33,40,21,17,7,25,118,9,14,39,40,24.4,88.3,21.4,29.8,4.7,34.7,40.4,17.3,10.8,10.7,18.7,108.9,9.7,13.9,0.7,24.9,87.2,19.6,35.0,4.4,32.9,36.9,15.4,12.0,10.2,20.7,101.2,6.9,15.3,45.4,43.1
MINNESOTA_TIMBERWOLVES,home,12_3,22,82,28,22,7,29,36,20,11,13,16,103,11,14,1,HOUSTON_ROCKETS,24,74,19,39,6,27,32,16,11,7,27,91,9,20,42,34,24.0,88.5,21.1,29.7,4.8,33.3,39.8,16.7,10.9,11.1,18.6,107.2,10.0,13.0,0.7,24.5,84.5,19.3,33.9,4.8,33.3,36.1,15.5,11.3,9.0,20.5,99.0,6.8,16.0,44.4,42.3
MINNESOTA_TIMBERWOLVES,home,12_5,34,89,20,24,11,40,48,13,12,10,15,121,6,15,1,CHARLOTTE_HORNETS,27,98,15,33,1,27,40,12,12,13,15,104,7,10,50,40,24.5,88.4,20.7,28.9,5.3,33.7,40.9,16.1,10.7,11.0,17.9,108.6,9.2,13.0,0.7,24.7,84.9,19.0,34.4,4.3,32.4,36.1,15.6,11.6,9.3,19.9,99.4,6.8,15.2,44.7,41.7
