name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
DETROIT_PISTONS,home,10_17,21,92,22,24,5,32,39,19,6,14,20,103,5,14,1,BROOKLYN_NETS,28,82,22,27,5,34,40,15,5,5,23,100,9,17,46,39
DETROIT_PISTONS,away,10_20,21,101,23,40,4,31,41,18,18,18,23,118,4,9,1,CHICAGO_BULLS,26,87,26,21,3,36,44,21,7,5,20,116,4,11,49,41
DETROIT_PISTONS,home,10_23,22,108,27,33,4,34,51,19,12,12,24,133,4,8,1,PHILADELPHIA_76ERS,32,98,28,43,8,40,49,20,14,8,24,132,3,11,46,48
DETROIT_PISTONS,home,10_25,21,78,29,28,5,35,41,17,11,13,21,110,4,20,1,CLEVELAND_CAVALIERS,18,89,15,24,1,23,41,13,8,7,25,103,11,9,48,30
DETROIT_PISTONS,home,10_27,16,89,20,37,3,41,33,16,7,6,24,89,4,11,0,BOSTON_CELTICS,25,86,25,34,8,46,39,17,14,8,26,109,4,13,47,54
DETROIT_PISTONS,away,10_30,17,88,27,30,3,39,37,23,8,11,28,105,6,17,0,BOSTON_CELTICS,25,84,32,31,4,38,37,25,9,8,20,108,8,14,50,46
DETROIT_PISTONS,away,10_31,16,93,39,34,6,41,39,30,11,14,30,119,8,16,0,BROOKLYN_NETS,26,101,30,38,3,37,43,22,12,18,33,120,5,16,55,55
DETROIT_PISTONS,away,11_3,16,83,41,30,3,37,33,28,5,7,32,99,8,17,0,PHILADELPHIA_76ERS,21,69,51,29,3,42,28,44,9,3,31,109,11,17,44,45
DETROIT_PISTONS,home,11_5,27,105,28,35,3,39,43,18,11,21,30,115,8,19,0,MIAMI_HEAT,24,98,31,31,8,41,44,20,12,9,26,120,10,17,60,50
DETROIT_PISTONS,away,11_7,21,90,20,37,1,37,37,18,11,13,15,103,13,19,1,ORLANDO_MAGIC,28,87,9,27,8,34,40,7,9,6,19,96,10,20,50,40
