name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
DETROIT_PISTONS,home,11_14,25,92,16,16,9,43,43,13,5,4,14,104,4,9,1,OKLAHOMA_CITY_THUNDER,16,88,22,27,6,38,33,17,5,13,21,88,3,15,47,51,20.8,87.3,19.9,19.0,4.9,35.2,38.8,15.1,6.3,9.8,16.2,99.0,7.6,11.4,0.6,20.5,85.1,19.0,23.6,4.6,35.1,35.8,15.0,8.3,10.2,17.5,94.9,7.4,13.2,45.0,45.3
DETROIT_PISTONS,away,11_16,19,85,12,23,1,32,42,10,8,8,14,102,6,10,0,NEW_YORK_KNICKS,24,93,19,25,9,33,42,12,9,19,11,105,8,9,40,52,20.0,86.3,20.5,19.4,4.6,34.0,38.2,15.6,6.4,9.7,16.5,98.4,7.4,11.2,0.5,20.9,84.9,19.7,23.5,5.2,35.4,36.7,15.4,8.4,10.7,17.3,97.2,7.4,13.2,43.7,46.1
DETROIT_PISTONS,away,11_18,23,93,20,19,4,33,29,17,6,11,15,81,5,7,0,CLEVELAND_CAVALIERS,26,83,14,25,8,47,40,13,11,5,14,104,4,13,44,52,20.0,86.8,20.5,19.3,4.6,33.1,37.2,15.8,6.5,9.2,16.6,96.7,7.1,10.4,0.4,21.3,84.5,19.7,24.3,5.6,37.1,37.3,15.6,9.1,10.2,17.1,99.3,6.8,13.3,42.3,47.3
DETROIT_PISTONS,home,11_19,22,86,16,20,4,39,37,11,7,11,13,92,5,5,0,BOSTON_CELTICS,22,82,17,31,7,37,33,16,12,9,13,94,3,8,50,46,20.3,86.5,20.0,20.0,4.5,33.2,36.8,15.7,6.4,9.3,16.3,95.7,6.9,9.9,0.3,21.7,84.1,19.9,25.2,5.4,37.3,37.1,16.0,9.6,10.3,16.4,99.8,6.5,13.0,42.5,47.6
DETROIT_PISTONS,home,11_21,19,87,24,17,3,27,36,17,7,12,20,96,7,14,0,HOUSTON_ROCKETS,22,78,27,31,6,34,35,19,10,12,20,99,4,15,39,46,20.1,86.4,20.3,19.2,4.2,33.1,36.7,15.6,6.2,9.5,16.5,95.2,6.5,10.0,0.3,21.2,84.3,20.9,25.6,5.7,36.7,36.5,16.5,9.3,11.0,16.1,98.8,5.9,12.6,42.6,47.7
DETROIT_PISTONS,home,11_23,22,81,25,19,7,39,40,21,6,10,19,107,8,13,1,MIAMI_HEAT,19,75,30,26,4,30,27,23,7,7,22,84,5,14,49,37,20.1,86.1,20.6,19.1,4.0,33.2,36.7,16.1,6.1,9.6,16.8,95.6,6.4,10.0,0.3,21.6,82.4,21.9,25.7,5.9,36.5,36.1,17.1,9.3,10.1,16.8,98.6,5.6,12.4,42.8,46.6
DETROIT_PISTONS,home,11_25,26,90,7,19,0,33,47,5,9,9,22,108,7,10,1,LOS_ANGELES_CLIPPERS,26,73,26,21,5,27,35,20,7,6,16,97,4,14,42,33,21.3,86.9,18.7,19.8,3.8,33.7,38.4,14.8,6.6,9.4,17.1,98.2,6.6,9.9,0.4,21.4,82.1,22.3,25.3,5.7,34.8,35.5,17.2,8.7,10.5,16.4,96.9,5.2,12.8,43.1,45.3
DETROIT_PISTONS,away,11_26,11,82,17,19,1,26,37,13,1,6,20,88,7,8,0,OKLAHOMA_CITY_THUNDER,23,83,26,23,3,33,42,14,8,10,16,106,4,10,32,43,20.4,86.2,17.2,19.5,3.4,33.1,38.9,13.4,5.8,9.1,16.7,97.0,6.2,9.6,0.4,21.7,82.0,21.9,25.4,5.4,34.2,35.9,16.3,8.7,10.5,16.0,96.8,4.9,12.1,42.2,44.7
DETROIT_PISTONS,away,11_29,21,92,11,28,4,35,45,10,12,9,19,112,7,11,1,CHARLOTTE_HORNETS,21,78,21,27,5,35,31,18,9,5,16,89,7,13,44,40,21.1,87.8,16.2,19.8,3.4,33.3,40.2,12.7,6.5,9.1,17.2,99.6,6.7,9.6,0.5,21.4,81.7,22.1,26.1,5.7,34.2,35.4,16.6,8.7,10.0,16.3,96.1,4.8,12.6,42.4,44.2
DETROIT_PISTONS,away,11_30,28,87,21,20,8,39,48,16,9,13,19,121,4,11,1,BOSTON_CELTICS,26,91,20,42,3,24,40,19,15,9,17,114,6,5,52,33,21.6,87.5,16.9,20.0,4.1,34.6,40.4,13.3,7.0,9.3,17.5,101.1,6.0,9.8,0.5,22.5,82.4,22.2,27.8,5.6,33.8,35.8,17.1,9.3,9.5,16.6,98.0,4.8,11.6,43.9,43.3
DETROIT_PISTONS,away,12_2,28,89,12,29,3,43,48,8,17,11,15,121,4,15,1,ATLANTA_HAWKS,22,88,20,24,2,26,32,15,6,6,12,85,6,7,54,32,21.9,87.2,16.5,21.3,3.5,34.6,40.9,12.8,8.2,10.0,17.6,102.8,6.0,10.4,0.5,23.1,82.4,22.0,27.5,5.2,32.6,35.7,16.9,9.4,8.8,15.7,97.7,5.1,10.8,44.6,41.4
DETROIT_PISTONS,home,12_4,16,86,13,27,3,34,38,6,10,10,12,92,8,12,0,ORLANDO_MAGIC,23,79,14,23,7,35,42,7,7,4,11,98,8,10,44,39,21.6,87.3,16.6,21.7,3.7,34.8,40.5,12.4,8.4,10.2,17.4,101.8,6.2,10.6,0.5,23.0,81.0,21.5,27.3,5.0,32.8,35.7,16.4,9.2,7.3,15.7,97.0,5.1,10.9,45.0,40.1
DETROIT_PISTONS,home,12_6,24,88,21,21,5,35,40,14,8,9,23,102,10,9,1,CHICAGO_BULLS,15,75,32,15,7,36,33,23,2,9,20,91,6,14,44,45,21.7,86.8,16.7,21.9,3.8,35.0,41.6,12.1,8.6,10.0,18.2,103.9,6.7,10.8,0.6,21.9,80.2,23.3,26.3,4.9,31.7,35.0,17.4,8.3,7.7,16.3,95.7,5.3,11.0,45.0,39.4
DETROIT_PISTONS,away,12_7,21,89,8,27,8,50,34,5,4,7,18,77,3,12,0,CHARLOTTE_HORNETS,13,88,29,21,2,46,30,21,6,5,11,87,7,5,57,51,21.6,87.1,15.9,22.6,4.2,36.1,41.3,11.5,8.3,9.6,18.7,102.4,6.5,11.5,0.6,21.0,80.8,24.5,25.3,4.4,32.6,34.7,17.9,7.7,7.3,16.1,95.0,5.7,10.7,45.7,39.9
DETROIT_PISTONS,away,12_9,23,84,23,29,1,31,42,19,14,11,23,117,6,7,1,MINNESOTA_TIMBERWOLVES,19,78,20,16,2,30,37,13,3,7,16,90,4,12,42,37,22.0,86.8,15.8,23.8,4.0,36.5,41.9,11.7,9.0,9.5,19.0,104.5,6.4,10.8,0.7,20.7,80.8,23.8,23.8,4.0,32.2,34.9,17.3,7.0,6.8,15.7,94.1,5.7,10.4,46.0,39.0
DETROIT_PISTONS,home,12_11,15,82,14,19,2,24,32,10,5,10,18,79,15,15,0,PHILADELPHIA_76ERS,24,68,17,17,4,37,38,14,7,5,13,97,11,20,34,42,21.3,86.9,14.7,23.8,3.5,35.0,41.1,10.6,8.9,9.5,18.9,101.7,7.1,11.0,0.6,21.2,80.1,22.5,22.9,4.0,32.9,36.0,16.4,7.0,6.6,14.8,95.4,6.3,11.0,44.5,39.5
DETROIT_PISTONS,away,12_14,18,71,22,17,2,40,36,18,5,10,19,95,4,19,1,DALLAS_MAVERICKS,19,78,16,25,3,24,32,13,8,6,22,85,13,11,50,30,20.5,85.0,16.2,23.6,3.7,35.7,40.0,11.9,8.5,9.6,18.6,100.4,6.8,11.9,0.6,20.5,80.6,21.5,23.3,3.8,32.6,35.7,15.7,7.1,6.6,15.4,94.2,7.2,10.7,45.3,39.2
DETROIT_PISTONS,away,12_16,22,86,21,28,1,30,42,14,10,10,19,108,3,9,0,WASHINGTON_WIZARDS,30,77,27,25,1,33,44,22,12,3,23,122,6,5,40,36,21.6,85.4,16.6,24.5,3.7,36.1,40.5,12.0,9.4,10.0,18.5,102.4,6.4,12.0,0.6,21.2,80.0,21.6,23.5,3.6,32.6,35.9,16.5,7.5,5.9,16.1,95.8,7.4,10.2,46.1,38.5
DETROIT_PISTONS,home,12_17,22,84,22,30,1,30,32,16,10,10,18,90,6,8,0,INDIANA_PACERS,20,83,25,19,3,42,40,19,6,9,16,105,6,9,40,51,21.7,84.6,17.7,24.7,3.4,35.6,39.2,12.6,9.2,10.1,18.4,100.2,6.3,11.7,0.5,21.1,80.5,22.0,22.7,3.4,33.3,36.8,16.6,7.2,6.3,16.1,97.4,7.3,9.8,45.7,39.6
DETROIT_PISTONS,away,12_19,19,83,13,23,3,22,34,11,3,10,8,82,8,11,0,CHICAGO_BULLS,34,82,7,16,5,37,49,7,8,9,13,113,9,13,32,46,20.8,84.2,16.9,25.0,2.9,33.9,37.8,12.1,8.6,9.8,17.3,96.3,6.7,11.7,0.4,21.9,79.6,20.7,20.1,3.6,34.6,37.7,15.4,6.5,6.3,15.7,97.3,7.6,10.6,43.7,40.9
DETROIT_PISTONS,home,12_21,17,72,37,23,3,36,26,28,6,10,18,86,2,17,0,MEMPHIS_GRIZZLIES,25,82,19,30,4,31,35,16,12,7,26,98,9,8,46,38,19.7,82.5,19.4,24.4,2.9,33.2,35.6,14.1,7.5,9.7,17.6,92.8,6.5,11.9,0.3,22.2,79.0,20.6,20.7,3.8,35.1,38.0,15.5,7.1,6.4,17.1,98.6,7.9,10.7,42.9,41.5
DETROIT_PISTONS,home,12_23,22,85,28,29,3,31,43,17,10,5,22,113,12,13,0,GOLDEN_STATE_WARRIORS,35,77,24,27,2,37,43,22,11,4,21,119,9,22,36,41,20.3,82.4,20.9,24.6,2.9,32.9,36.1,15.2,7.5,9.2,18.6,94.9,6.9,12.0,0.3,23.4,78.8,21.6,21.1,3.3,35.3,38.1,17.0,7.5,6.4,18.1,100.7,8.0,11.9,42.1,41.7
DETROIT_PISTONS,home,12_26,25,92,15,28,4,35,41,8,16,10,19,106,12,12,1,CLEVELAND_CAVALIERS,19,79,23,28,3,37,30,19,11,10,23,90,8,21,45,47,20.4,82.8,20.3,25.3,2.8,32.9,36.2,14.6,8.3,9.3,18.2,95.3,7.1,12.3,0.3,23.8,79.2,20.7,22.4,2.9,35.4,37.8,16.6,8.4,6.5,18.4,100.6,8.2,12.6,42.2,41.9
DETROIT_PISTONS,home,12_28,28,88,16,24,1,33,39,10,6,11,12,94,4,10,0,MILWAUKEE_BUCKS,36,84,16,22,5,35,48,12,11,3,14,119,8,7,44,38,21.1,82.7,21.1,25.0,2.1,31.2,36.7,15.1,8.5,9.7,17.6,97.0,7.2,12.1,0.3,26.1,78.8,19.4,22.5,3.2,34.3,39.6,15.7,8.9,6.3,18.7,103.8,8.3,12.8,40.9,40.6
DETROIT_PISTONS,away,12_30,22,84,21,31,7,29,35,19,9,14,24,98,9,18,0,ATLANTA_HAWKS,29,88,25,26,2,32,39,19,8,12,21,105,10,15,43,44,21.0,82.7,20.9,25.2,2.7,31.0,36.0,15.1,8.0,10.0,17.7,95.1,7.5,13.2,0.2,27.1,79.8,19.9,23.5,3.2,34.5,39.8,16.3,9.4,6.8,19.2,105.3,8.9,13.1,41.0,41.3
DETROIT_PISTONS,away,1_1,16,86,22,22,5,38,42,14,9,10,18,107,7,12,1,MIAMI_HEAT,25,77,18,26,4,31,35,14,14,3,22,98,6,10,48,34,21.1,83.1,21.7,25.5,3.0,32.4,37.0,15.5,8.4,10.0,17.7,97.9,6.7,12.9,0.3,27.2,80.7,20.0,24.4,3.2,33.9,39.5,16.3,10.1,6.6,20.1,105.4,8.4,12.1,42.4,40.5
DETROIT_PISTONS,home,1_3,31,97,12,29,5,26,48,10,10,16,19,116,5,10,0,INDIANA_PACERS,26,74,30,16,7,28,43,26,9,6,8,121,7,11,42,34,22.4,85.7,20.7,26.7,3.3,31.0,38.2,14.7,8.9,10.6,17.7,100.0,6.8,12.0,0.2,27.9,80.3,21.4,23.5,3.6,34.3,40.6,17.6,10.2,6.6,18.7,109.0,7.8,12.1,41.6,40.9
DETROIT_PISTONS,home,1_5,24,97,32,28,6,40,39,27,10,16,23,115,2,7,1,CHARLOTTE_HORNETS,20,91,34,26,5,41,37,30,10,8,23,114,4,5,56,49,22.6,86.8,21.8,26.7,3.8,32.0,37.9,16.0,8.9,11.2,18.1,100.7,6.7,11.8,0.3,26.9,81.7,22.1,23.6,4.0,35.1,39.9,18.4,10.0,7.1,18.7,108.2,7.6,12.1,43.2,42.2
